"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A826584",,"2021-01-02T09:57:00.000","2021-01-02T09:57:00.000","2020-11-02T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 month","Domestic Shorthair","Blue Tabby"
"A818532","*Katya","2021-01-02T09:48:00.000","2021-01-02T09:48:00.000","2018-12-10T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 years","Domestic Shorthair","Brown Tabby/White"
"A827673",,"2020-12-31T18:34:00.000","2020-12-31T18:34:00.000","2019-12-28T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","1 year","Raccoon","Black/Gray"
"A827820","Rose","2020-12-31T16:09:00.000","2020-12-31T16:09:00.000","2018-12-31T00:00:00.000","Return to Owner","Field","Dog","Intact Female","2 years","Dachshund Longhair/Chihuahua Longhair","Brown"
"A826098","*Turkey","2020-12-31T14:58:00.000","2020-12-31T14:58:00.000","2020-10-04T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","German Shepherd Mix","Black/Brown"
"A827752",,"2020-12-31T14:55:00.000","2020-12-31T14:55:00.000","2020-08-30T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Medium Hair Mix","Black/White"
"A827616",,"2020-12-31T14:40:00.000","2020-12-31T14:40:00.000","2020-10-11T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","German Shepherd Mix","Tan/White"
"A827617",,"2020-12-31T14:39:00.000","2020-12-31T14:39:00.000","2020-10-11T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","German Shepherd Mix","Brown/Tan"
"A827481","Dozer","2020-12-31T14:38:00.000","2020-12-31T14:38:00.000","2019-12-22T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","American Bulldog Mix","Blue/White"
"A827775","Sam","2020-12-31T14:12:00.000","2020-12-31T14:12:00.000","2020-04-30T00:00:00.000","Transfer","Snr","Cat","Spayed Female","8 months","Domestic Shorthair Mix","Blue"
"A818358",,"2020-12-31T13:36:00.000","2020-12-31T13:36:00.000","2020-05-12T00:00:00.000","Adoption","Foster","Cat","Spayed Female","7 months","Domestic Medium Hair","Silver Tabby/White"
"A827372","*Helena","2020-12-31T13:33:00.000","2020-12-31T13:33:00.000","2018-12-19T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","German Shepherd","Cream/Gold"
"A825851","*Zelda","2020-12-31T13:10:00.000","2020-12-31T13:10:00.000","2018-11-13T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 years","Siberian Husky Mix","Tricolor"
"A706280","Foxx","2020-12-31T13:09:00.000","2020-12-31T13:09:00.000","2015-04-01T00:00:00.000","Adoption",,"Cat","Spayed Female","5 years","Domestic Shorthair Mix","Tortie"
"A827705",,"2020-12-31T12:37:00.000","2020-12-31T12:37:00.000","2020-07-29T00:00:00.000","Transfer","Partner","Cat","Intact Female","5 months","Domestic Shorthair","Calico"
"A827706",,"2020-12-31T12:36:00.000","2020-12-31T12:36:00.000","2020-07-29T00:00:00.000","Transfer","Partner","Cat","Spayed Female","5 months","Domestic Shorthair","Tortie"
"A827798","Daisy","2020-12-31T12:25:00.000","2020-12-31T12:25:00.000","2018-12-31T00:00:00.000","Return to Owner",,"Dog","Intact Female","2 years","Siberian Husky","Black/White"
"A826332","*Gizmo","2020-12-31T12:21:00.000","2020-12-31T12:21:00.000","2020-10-09T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Dachshund/Dachshund","White/Brown"
"A827571",,"2020-12-31T11:46:00.000","2020-12-31T11:46:00.000","2020-09-25T00:00:00.000","Transfer","Partner","Dog","Intact Male","3 months","Chihuahua Shorthair","Black"
"A827570",,"2020-12-31T11:46:00.000","2020-12-31T11:46:00.000","2020-02-25T00:00:00.000","Transfer","Partner","Dog","Intact Male","10 months","Chihuahua Shorthair","Black"
"A827609",,"2020-12-31T11:45:00.000","2020-12-31T11:45:00.000","2018-12-27T00:00:00.000","Transfer","Partner","Dog","Intact Male","2 years","Cairn Terrier/Miniature Poodle","Brown/Brown"
"A822766","Rambo","2020-12-31T11:37:00.000","2020-12-31T11:37:00.000","2017-09-09T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","German Shepherd","Black/Tan"
"A827499","Cc","2020-12-31T10:57:00.000","2020-12-31T10:57:00.000","2020-09-23T00:00:00.000","Adoption",,"Other","Unknown","3 months","Guinea Pig","White/Tricolor"
"A827739",,"2020-12-31T09:49:00.000","2020-12-31T09:49:00.000","2018-12-30T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","2 years","Skunk","Black"
"A826894","Charara","2020-12-30T16:46:00.000","2020-12-30T16:46:00.000","2019-12-08T00:00:00.000","Adoption",,"Dog","Spayed Female","1 year","Staffordshire","Blue"
"A823202","*Taco","2020-12-30T16:46:00.000","2020-12-30T16:46:00.000","2020-02-18T00:00:00.000","Adoption",,"Dog","Neutered Male","10 months","Pit Bull","Tan/White"
"A826890","Canche","2020-12-30T16:44:00.000","2020-12-30T16:44:00.000","2018-12-08T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Staffordshire","Tan/White"
"A827700",,"2020-12-30T16:20:00.000","2020-12-30T16:20:00.000","2018-06-29T00:00:00.000","Transfer","Snr","Cat","Neutered Male","2 years","Domestic Shorthair Mix","Orange Tabby"
"A827584",,"2020-12-30T16:10:00.000","2020-12-30T16:10:00.000","2018-12-26T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Miniature Poodle","White"
"A822336","*Mali","2020-12-30T15:27:00.000","2020-12-30T15:27:00.000","2020-07-08T00:00:00.000","Transfer","Partner","Cat","Intact Female","5 months","British Shorthair Mix","Brown Tabby/White"
"A827680",,"2020-12-30T15:27:00.000","2020-12-30T15:27:00.000","2020-11-29T00:00:00.000","Transfer","Partner","Cat","Intact Female","4 weeks","Domestic Shorthair","Brown Tabby"
"A825167","*Erica","2020-12-30T15:27:00.000","2020-12-30T15:27:00.000","2020-08-29T00:00:00.000","Transfer","Partner","Cat","Spayed Female","4 months","Domestic Shorthair","Blue"
"A826835",,"2020-12-30T15:27:00.000","2020-12-30T15:27:00.000","2020-09-24T00:00:00.000","Transfer","Partner","Cat","Spayed Female","3 months","Domestic Shorthair","Brown Tabby"
"A827246","*Jinora","2020-12-30T15:25:00.000","2020-12-30T15:25:00.000","2020-06-17T00:00:00.000","Transfer","Partner","Cat","Spayed Female","6 months","Domestic Medium Hair","Brown Tabby"
"A827245","*Yui","2020-12-30T15:25:00.000","2020-12-30T15:25:00.000","2020-06-17T00:00:00.000","Transfer","Partner","Cat","Spayed Female","6 months","Domestic Medium Hair","Brown Tabby"
"A827274","*Fizzle","2020-12-30T15:24:00.000","2020-12-30T15:24:00.000","2020-09-02T00:00:00.000","Transfer","Partner","Cat","Spayed Female","3 months","Domestic Shorthair Mix","Blue Tabby"
"A827476","*Bubble","2020-12-30T15:24:00.000","2020-12-30T15:24:00.000","2020-07-22T00:00:00.000","Transfer","Partner","Cat","Spayed Female","5 months","Domestic Shorthair Mix","Blue Tabby/White"
"A827276","*Poppet","2020-12-30T15:24:00.000","2020-12-30T15:24:00.000","2020-09-02T00:00:00.000","Transfer","Partner","Cat","Neutered Male","3 months","Domestic Shorthair Mix","Orange Tabby"
"A687630","Nelly","2020-12-30T15:03:00.000","2020-12-30T15:03:00.000","2013-03-08T00:00:00.000","Return to Owner",,"Dog","Spayed Female","7 years","Chihuahua Shorthair/Pug","Brown/Black"
"A827674","Penny","2020-12-30T15:03:00.000","2020-12-30T15:03:00.000","2018-12-28T00:00:00.000","Return to Owner",,"Dog","Spayed Female","2 years","Dachshund","Brown"
"A817906","*Georgia","2020-12-30T14:21:00.000","2020-12-30T14:21:00.000","2019-12-28T00:00:00.000","Adoption","Foster","Dog","Spayed Female","1 year","Pit Bull","Brown"
"A823720","*Queso","2020-12-30T14:05:00.000","2020-12-30T14:05:00.000","2020-08-29T00:00:00.000","Adoption","Foster","Cat","Spayed Female","4 months","Domestic Shorthair","Orange Tabby"
"A826885","*Aelia","2020-12-30T12:19:00.000","2020-12-30T12:19:00.000","2020-08-08T00:00:00.000","Adoption",,"Cat","Spayed Female","4 months","Domestic Shorthair Mix","Black"
"A825391",,"2020-12-30T10:53:00.000","2020-12-30T10:53:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Black"
"A825393",,"2020-12-30T10:37:00.000","2020-12-30T10:37:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 months","Domestic Shorthair","Blue Tabby"
"A827061","*Muddy Waters","2020-12-30T10:23:00.000","2020-12-30T10:23:00.000","2019-12-11T00:00:00.000","Adoption","Foster","Bird","Unknown","1 year","Parakeet","Gray/White"
"A827060","*Stevie Nicks","2020-12-30T10:20:00.000","2020-12-30T10:20:00.000","2019-12-11T00:00:00.000","Adoption","Foster","Bird","Intact Female","1 year","Parakeet","Blue/White"
"A827059","*Bb King","2020-12-30T10:18:00.000","2020-12-30T10:18:00.000","2019-12-11T00:00:00.000","Adoption","Foster","Bird","Unknown","1 year","Parakeet","Blue/White"
"A826099","*Ham","2020-12-30T08:52:00.000","2020-12-30T08:52:00.000","2020-10-04T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","German Shepherd Mix","Black/Brown"
"A826100","*Pumpkin Pie","2020-12-30T08:09:00.000","2020-12-30T08:09:00.000","2020-10-04T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","German Shepherd Mix","Black/Brown"
"A823232",,"2020-12-30T06:44:00.000","2020-12-30T06:44:00.000","2020-05-23T00:00:00.000","Adoption","Foster","Cat","Neutered Male","7 months","Domestic Shorthair Mix","Brown Tabby/White"
"A761477","Titan","2020-12-29T17:44:00.000","2020-12-29T17:44:00.000","2012-11-05T00:00:00.000","Transfer","Partner","Dog","Neutered Male","8 years","Chihuahua Shorthair Mix","White/Tan"
"A827671","Gizmo","2020-12-29T16:11:00.000","2020-12-29T16:11:00.000","2006-12-28T00:00:00.000","Return to Owner",,"Dog","Intact Male","14 years","Chihuahua Shorthair Mix","Tan/White"
"A816475","Spike","2020-12-29T16:09:00.000","2020-12-29T16:09:00.000","2015-04-18T00:00:00.000","Return to Owner",,"Dog","Neutered Male","5 years","Pit Bull","Blue/White"
"A825080","*Gravy","2020-12-29T15:36:00.000","2020-12-29T15:36:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Siberian Husky Mix","Black/Tan"
"A827439","*Maki","2020-12-29T15:20:00.000","2020-12-29T15:20:00.000","2020-09-21T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Longhair Mix","Black/White"
"A827438","*Aida","2020-12-29T15:20:00.000","2020-12-29T15:20:00.000","2020-09-21T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Longhair Mix","Black/White"
"A824098","Milo","2020-12-29T14:48:00.000","2020-12-29T14:48:00.000","2020-04-06T00:00:00.000","Adoption","Foster","Dog","Neutered Male","8 months","Boxer","White/Brown"
"A827358","Luna","2020-12-29T14:47:00.000","2020-12-29T14:47:00.000","2020-10-19T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 months","German Shepherd","Tan/Black"
"A823884","Jojo","2020-12-29T14:28:00.000","2020-12-29T14:28:00.000","2019-12-01T00:00:00.000","Adoption","Foster","Cat","Neutered Male","1 year","Domestic Shorthair","Brown Tabby"
"A827622","Lillie","2020-12-29T14:23:00.000","2020-12-29T14:23:00.000","2007-12-28T00:00:00.000","Return to Owner",,"Dog","Spayed Female","13 years","Maltese","White"
"A827474","*Corky","2020-12-29T14:14:00.000","2020-12-29T14:14:00.000","2020-07-22T00:00:00.000","Transfer","Partner","Dog","Intact Male","5 months","Chihuahua Shorthair/Dachshund","Brown"
"A826711","Mina","2020-12-29T13:48:00.000","2020-12-29T13:48:00.000","2019-12-04T00:00:00.000","Adoption",,"Cat","Spayed Female","1 year","Domestic Longhair Mix","Black/White"
"A823623","*Franks","2020-12-29T13:35:00.000","2020-12-29T13:35:00.000","2020-07-27T00:00:00.000","Adoption","Foster","Cat","Neutered Male","5 months","Domestic Shorthair","Cream Tabby/White"
"A825392",,"2020-12-29T13:26:00.000","2020-12-29T13:26:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Cream Tabby"
"A825390",,"2020-12-29T13:23:00.000","2020-12-29T13:23:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Black"
"A827517",,"2020-12-29T12:47:00.000","2020-12-29T12:47:00.000","2016-12-23T00:00:00.000","Adoption",,"Dog","Spayed Female","4 years","Chihuahua Shorthair","Tan/White"
"A819970",,"2020-12-29T12:38:00.000","2020-12-29T12:38:00.000","2020-04-08T00:00:00.000","Adoption","Foster","Cat","Spayed Female","8 months","Domestic Shorthair","Torbie/White"
"A819965",,"2020-12-29T12:36:00.000","2020-12-29T12:36:00.000","2020-04-08T00:00:00.000","Adoption","Foster","Cat","Neutered Male","8 months","Domestic Shorthair","Blue Tabby/White"
"A827441","Albus","2020-12-29T12:35:00.000","2020-12-29T12:35:00.000","2020-05-21T00:00:00.000","Transfer","Partner","Dog","Intact Male","7 months","German Shepherd/Alaskan Husky","Tan/Brown"
"A827113","*Bruno","2020-12-29T12:35:00.000","2020-12-29T12:35:00.000","2018-12-14T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Labrador Retriever/Boxer","Tan/White"
"A825081","*Brussels Sprout","2020-12-29T11:15:00.000","2020-12-29T11:15:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Siberian Husky Mix","Black/Tan"
"A826260","Stripey","2020-12-29T11:02:00.000","2020-12-29T11:02:00.000","2020-05-23T00:00:00.000","Adoption","Foster","Cat","Neutered Male","7 months","Domestic Shorthair","Brown Tabby"
"A827556",,"2020-12-29T09:53:00.000","2020-12-29T09:53:00.000","2020-06-24T00:00:00.000","Euthanasia","At Vet","Cat","Unknown","6 months","Domestic Shorthair","Black/White"
"A823145","*Ivy","2020-12-29T09:46:00.000","2020-12-29T09:46:00.000","2020-08-06T00:00:00.000","Adoption","Foster","Cat","Spayed Female","4 months","Domestic Shorthair","Brown Tabby"
"A827390","*Serena","2020-12-28T18:00:00.000","2020-12-28T18:00:00.000","2017-06-20T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","Border Collie","Black/White"
"A827454",,"2020-12-28T17:52:00.000","2020-12-28T17:52:00.000","2020-10-22T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","German Shepherd","Black"
"A827145",,"2020-12-28T17:51:00.000","2020-12-28T17:51:00.000","2020-10-07T00:00:00.000","Adoption",,"Cat","Neutered Male","2 months","Domestic Shorthair","Orange Tabby"
"A827504","Polo","2020-12-28T17:46:00.000","2020-12-28T17:46:00.000","2018-12-23T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Dachshund Mix","Brown/White"
"A827655","Hazard","2020-12-28T17:41:00.000","2020-12-28T17:41:00.000","2009-12-28T00:00:00.000","Return to Owner",,"Dog","Spayed Female","11 years","German Shepherd","Brown/Black"
"A826962","Choco","2020-12-28T17:22:00.000","2020-12-28T17:22:00.000","2018-12-09T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Australian Shepherd/Border Collie","Chocolate/White"
"A827505","Bella","2020-12-28T17:21:00.000","2020-12-28T17:21:00.000","2017-06-23T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","Pembroke Welsh Corgi Mix","Buff"
"A827465",,"2020-12-28T17:18:00.000","2020-12-28T17:18:00.000","2020-07-07T00:00:00.000","Adoption",,"Dog","Spayed Female","5 months","Maltese/Miniature Poodle","Black/Brown"
"A827464",,"2020-12-28T17:17:00.000","2020-12-28T17:17:00.000","2020-07-07T00:00:00.000","Adoption",,"Dog","Spayed Female","5 months","Maltese/Miniature Poodle","White"
"A827421",,"2020-12-28T16:46:00.000","2020-12-28T16:46:00.000","2020-09-21T00:00:00.000","Adoption",,"Dog","Neutered Male","3 months","Labrador Retriever Mix","Brown/White"
"A827453",,"2020-12-28T16:33:00.000","2020-12-28T16:33:00.000","2020-10-22T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","German Shepherd Mix","Buff"
"A827455",,"2020-12-28T16:32:00.000","2020-12-28T16:32:00.000","2020-10-22T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","German Shepherd Mix","Sable"
"A825079","*Mashed Potato","2020-12-28T16:30:00.000","2020-12-28T16:30:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Siberian Husky Mix","Brown/White"
"A827391",,"2020-12-28T16:25:00.000","2020-12-28T16:25:00.000","2018-12-20T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Miniature Pinscher","Brown/Tan"
"A826837",,"2020-12-28T16:23:00.000","2020-12-28T16:23:00.000","2020-09-24T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Shorthair","Calico"
"A827398",,"2020-12-28T16:16:00.000","2020-12-28T16:16:00.000","2020-08-20T00:00:00.000","Adoption",,"Dog","Neutered Male","4 months","Labrador Retriever","Black/White"
"A791377","Bolt","2020-12-28T15:49:00.000","2020-12-28T15:49:00.000","2019-01-14T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","Siberian Husky Mix","White"
"A827472",,"2020-12-28T15:40:00.000","2020-12-28T15:40:00.000","2018-12-22T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 years","Australian Cattle Dog","Tricolor"
"A827467",,"2020-12-28T15:38:00.000","2020-12-28T15:38:00.000","2018-12-22T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 years","Australian Cattle Dog/Queensland Heeler","Blue Merle/Black"
"A827656",,"2020-12-28T15:00:00.000","2020-12-28T15:00:00.000","2020-06-28T00:00:00.000","Transfer","Partner","Cat","Intact Female","6 months","Domestic Shorthair","Calico"
"A827237","Rumplestilskin","2020-12-28T14:53:00.000","2020-12-28T14:53:00.000","2020-02-16T00:00:00.000","Adoption",,"Cat","Neutered Male","10 months","Domestic Shorthair","Blue"
"A823517","*Breezy","2020-12-28T14:19:00.000","2020-12-28T14:19:00.000","2017-09-28T00:00:00.000","Adoption",,"Cat","Neutered Male","3 years","Domestic Shorthair","Brown Tabby"
"A827623","Zeno","2020-12-28T11:51:00.000","2020-12-28T11:51:00.000","2020-11-28T00:00:00.000","Transfer","Partner","Dog","Intact Male","4 weeks","Pit Bull","Blue"
"A827619","Sunshine","2020-12-28T11:15:00.000","2020-12-28T11:15:00.000","2013-03-09T00:00:00.000","Return to Owner",,"Dog","Intact Female","7 years","Pomeranian","Tan"
"A827433","Kevin Hart","2020-12-28T09:34:00.000","2020-12-28T09:34:00.000","2020-12-19T00:00:00.000","Euthanasia","At Vet","Dog","Intact Female","1 weeks","Labrador Retriever","Chocolate/White"
"A827428","Beyonce","2020-12-28T09:33:00.000","2020-12-28T09:33:00.000","2020-12-19T00:00:00.000","Euthanasia","At Vet","Dog","Intact Male","1 weeks","Labrador Retriever","Black"
"A827162","Rocky","2020-12-27T15:23:00.000","2020-12-27T15:23:00.000","2019-12-15T00:00:00.000","Return to Owner",,"Dog","Intact Male","1 year","Pit Bull","Blue/White"
"A826086","Dimitri","2020-12-27T14:45:00.000","2020-12-27T14:45:00.000","2013-11-19T00:00:00.000","Rto-Adopt",,"Cat","Neutered Male","7 years","Domestic Shorthair","Brown Tabby/White"
"A826796","Derby","2020-12-27T11:16:00.000","2020-12-27T11:16:00.000","2019-12-09T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","Pit Bull","White/Tan"
"A826655","Chinook","2020-12-27T10:32:00.000","2020-12-27T10:32:00.000","2018-12-03T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Siberian Husky/German Shepherd","Black/Tan"
"A827479",,"2020-12-26T16:46:00.000","2020-12-26T16:46:00.000","2019-12-22T00:00:00.000","Transfer","Snr","Cat","Neutered Male","1 year","Domestic Shorthair Mix","Orange Tabby"
"A825519",,"2020-12-26T16:36:00.000","2020-12-26T16:36:00.000","2020-10-19T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Longhair Mix","Black/White"
"A825517",,"2020-12-26T16:31:00.000","2020-12-26T16:31:00.000","2020-10-19T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair Mix","Brown Tabby/White"
"A827478",,"2020-12-26T14:46:00.000","2020-12-26T14:46:00.000","2019-12-22T00:00:00.000","Transfer","Snr","Cat","Spayed Female","1 year","Domestic Shorthair Mix","White/Orange Tabby"
"A827506",,"2020-12-26T14:26:00.000","2020-12-26T14:26:00.000","2020-10-23T00:00:00.000","Adoption",,"Dog","Intact Male","2 months","Queensland Heeler","White/Black"
"A824385","*Griffin","2020-12-26T13:55:00.000","2020-12-26T13:55:00.000","2020-05-13T00:00:00.000","Adoption","Foster","Cat","Neutered Male","7 months","Domestic Medium Hair","Orange Tabby"
"A824233","*John","2020-12-26T13:45:00.000","2020-12-26T13:45:00.000","2020-09-09T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby"
"A824234","*Paul","2020-12-26T13:44:00.000","2020-12-26T13:44:00.000","2020-09-09T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby"
"A824237","*Ringo","2020-12-26T13:40:00.000","2020-12-26T13:40:00.000","2020-09-09T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby"
"A824236","*George","2020-12-26T13:39:00.000","2020-12-26T13:39:00.000","2020-09-09T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby"
"A826222","*Damian","2020-12-26T13:36:00.000","2020-12-26T13:36:00.000","2020-03-22T00:00:00.000","Adoption",,"Cat","Neutered Male","9 months","Domestic Shorthair","White/Brown Tabby"
"A824855","Speedy","2020-12-26T13:24:00.000","2020-12-26T13:24:00.000","2019-10-22T00:00:00.000","Adoption",,"Cat","Spayed Female","1 year","Domestic Shorthair Mix","Cream Tabby"
"A827332","Lilky","2020-12-26T13:15:00.000","2020-12-26T13:15:00.000","2018-12-18T00:00:00.000","Return to Owner",,"Cat","Spayed Female","2 years","Domestic Shorthair","Brown Tabby/White"
"A827512","Coco","2020-12-26T13:06:00.000","2020-12-26T13:06:00.000","2020-02-23T00:00:00.000","Return to Owner",,"Dog","Intact Male","10 months","Great Pyrenees","White"
"A827554","Duque","2020-12-26T12:34:00.000","2020-12-26T12:34:00.000","2018-12-24T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Australian Cattle Dog","Tricolor"
"A827553","Ginger","2020-12-26T12:33:00.000","2020-12-26T12:33:00.000","2018-12-24T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Alaskan Husky","Gray/White"
"A825394",,"2020-12-26T11:51:00.000","2020-12-26T11:51:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 month","Domestic Shorthair","Blue"
"A827548",,"2020-12-26T11:40:00.000","2020-12-26T11:40:00.000","2018-12-24T00:00:00.000","Return to Owner",,"Dog","Intact Female","2 years","Pit Bull/Boxer","White/Brown"
"A826328","*Sadie","2020-12-26T11:36:00.000","2020-12-26T11:36:00.000","2020-10-09T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","Dachshund/Chihuahua Shorthair","Brown/White"
"A826575","*Winston","2020-12-26T11:28:00.000","2020-12-26T11:28:00.000","2018-12-01T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Miniature Schnauzer Mix","Black"
"A765818","Kraytos","2020-12-26T11:18:00.000","2020-12-26T11:18:00.000","2015-01-27T00:00:00.000","Return to Owner",,"Dog","Neutered Male","5 years","Pit Bull Mix","Brown"
"A825078","*Teddy","2020-12-26T10:39:00.000","2020-12-26T10:39:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Dog","Neutered Male","1 month","Siberian Husky Mix","Brown/White"
"A825077","*Franklin","2020-12-26T10:35:00.000","2020-12-26T10:35:00.000","2020-10-26T00:00:00.000","Adoption","Foster","Dog","Neutered Male","1 month","Siberian Husky Mix","Brown"
"A826698","*Jingle","2020-12-26T09:19:00.000","2020-12-26T09:19:00.000","2020-10-24T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Black"
"A826699","*Bells","2020-12-26T09:18:00.000","2020-12-26T09:18:00.000","2020-10-24T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 months","Domestic Shorthair","Orange Tabby/White"
"A827560",,"2020-12-26T08:06:00.000","2020-12-26T08:06:00.000","2018-12-24T00:00:00.000","Euthanasia","At Vet","Other","Unknown","2 years","Fox","Gray"
"A825518",,"2020-12-26T07:58:00.000","2020-12-26T07:58:00.000","2020-10-19T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair Mix","Black/White"
"A783252","*Joni","2020-12-26T07:20:00.000","2020-12-26T07:20:00.000","2017-10-27T00:00:00.000","Adoption","Foster","Dog","Spayed Female","3 years","Pit Bull/Labrador Retriever","Black"
"A826397","*Garfunkel","2020-12-26T07:16:00.000","2020-12-26T07:16:00.000","2020-10-13T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Blue Tabby"
"A825388",,"2020-12-26T07:11:00.000","2020-12-26T07:11:00.000","2018-11-02T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 years","Domestic Shorthair","Tortie"
"A826341","*Wynonna","2020-12-26T07:07:00.000","2020-12-26T07:07:00.000","2019-11-25T00:00:00.000","Adoption","Foster","Dog","Spayed Female","1 year","Australian Cattle Dog","Red Tick/White"
"A827530",,"2020-12-24T12:24:00.000","2020-12-24T12:24:00.000","2018-12-23T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","2 years","Raccoon","Brown"
"A827205","*Frankie","2020-12-24T09:51:00.000","2020-12-24T09:51:00.000","2018-12-16T00:00:00.000","Died","In Kennel","Bird","Unknown","2 years","Parakeet","Yellow/Green"
"A827195","Jellybean","2020-12-23T17:11:00.000","2020-12-23T17:11:00.000","2017-12-16T00:00:00.000","Rto-Adopt",,"Cat","Neutered Male","3 years","Domestic Shorthair","Orange Tabby"
"A824827","*Maria","2020-12-23T17:10:00.000","2020-12-23T17:10:00.000","2020-09-02T00:00:00.000","Adoption",,"Cat","Spayed Female","3 months","Domestic Shorthair Mix","Brown Tabby"
"A826329","Minerva","2020-12-23T17:00:00.000","2020-12-23T17:00:00.000","2019-11-24T00:00:00.000","Adoption",,"Cat","Spayed Female","1 year","Domestic Shorthair","Black"
"A826296",,"2020-12-23T16:57:00.000","2020-12-23T16:57:00.000","2020-09-23T00:00:00.000","Adoption",,"Cat","Neutered Male","2 months","Domestic Shorthair","Brown Tabby/White"
"A827035",,"2020-12-23T16:51:00.000","2020-12-23T16:51:00.000","2020-06-11T00:00:00.000","Adoption",,"Cat","Spayed Female","6 months","Domestic Shorthair","Black/White"
"A826884","Rosemary","2020-12-23T16:36:00.000","2020-12-23T16:36:00.000","2020-07-08T00:00:00.000","Adoption",,"Cat","Spayed Female","5 months","Domestic Shorthair","Brown Tabby"
"A827451","Owen","2020-12-23T16:26:00.000","2020-12-23T16:26:00.000","2018-12-22T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Labrador Retriever Mix","White/Tan"
"A827152","*Lester","2020-12-23T16:23:00.000","2020-12-23T16:23:00.000","2018-12-14T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Labrador Retriever","Chocolate"
